Time (UTC),Plays
12/27/2018 00:00:00,9
1/3/2019 00:00:00,380
1/10/2019 00:00:00,744
1/17/2019 00:00:00,228
1/24/2019 00:00:00,348
1/31/2019 00:00:00,178
2/7/2019 00:00:00,477
2/14/2019 00:00:00,521
2/21/2019 00:00:00,679
2/28/2019 00:00:00,500
3/7/2019 00:00:00,788
3/14/2019 00:00:00,698
3/21/2019 00:00:00,900
3/28/2019 00:00:00,798
4/4/2019 00:00:00,997
4/11/2019 00:00:00,805
4/18/2019 00:00:00,1240
4/25/2019 00:00:00,889
5/2/2019 00:00:00,589
5/9/2019 00:00:00,1165
5/16/2019 00:00:00,1323
5/23/2019 00:00:00,2054
5/30/2019 00:00:00,2618
6/6/2019 00:00:00,1909
6/13/2019 00:00:00,1382
6/20/2019 00:00:00,1030
6/27/2019 00:00:00,1899
7/4/2019 00:00:00,1554
7/11/2019 00:00:00,1886
7/18/2019 00:00:00,1362
7/25/2019 00:00:00,2128
8/1/2019 00:00:00,2339
8/8/2019 00:00:00,2711
8/15/2019 00:00:00,2176
8/22/2019 00:00:00,2506
8/29/2019 00:00:00,2937
9/5/2019 00:00:00,2591
9/12/2019 00:00:00,3069
9/19/2019 00:00:00,2653
9/26/2019 00:00:00,3343
10/3/2019 00:00:00,3139
10/10/2019 00:00:00,3334
10/17/2019 00:00:00,3433
10/24/2019 00:00:00,4384
10/31/2019 00:00:00,3715
